ds,y
2018-04-21,199.43
2018-04-22,199.15
2018-04-23,197.67
2018-04-24,194.96
2018-04-25,194.83
2018-04-26,194.19
2018-04-27,197.98
2018-04-28,199.65
2018-04-29,195.4
2018-04-30,192.8
2018-05-01,193.82
2018-05-02,190.2
2018-05-03,193.21
2018-05-04,190.38
2018-05-05,185.41
2018-05-06,187.15
2018-05-07,187.56
2018-05-08,190.3
2018-05-09,190.53
2018-05-10,187.18
2018-05-11,185.28
2018-05-12,184.39
2018-05-13,184.83
2018-05-14,183.93
2018-05-15,183.91
2018-05-16,187.05
2018-05-17,190.97
2018-05-18,187.17
2018-05-19,188.9
2018-05-20,186.78
2018-05-21,190.85
2018-05-22,189.82
2018-05-23,186.48
2018-05-24,187.17
2018-05-25,187.47
2018-05-26,189.0
2018-05-27,189.23
2018-05-28,189.89
2018-05-29,188.49
2018-05-30,189.07
2018-05-31,186.74
2018-06-01,182.86
2018-06-02,180.34
2018-06-03,175.82
2018-06-04,176.05
2018-06-05,173.84
2018-06-06,172.44
2018-06-07,170.94
2018-06-08,172.57
2018-06-09,168.53
2018-06-10,168.97
2018-06-11,169.11
2018-06-12,167.39
2018-06-13,168.9
2018-06-14,165.75
2018-06-15,165.34
2018-06-16,167.0
2018-06-17,163.36
2018-06-18,159.68
2018-06-19,156.98
2018-06-20,155.04
2018-06-21,153.13
2018-06-22,151.99
2018-06-23,149.27
2018-06-24,146.6
2018-06-25,143.07
2018-06-26,141.28
2018-06-27,139.04
2018-06-28,140.68
2018-06-29,141.86
2018-06-30,137.33
2018-07-01,135.99
2018-07-02,135.28
2018-07-03,137.28
2018-07-04,139.72
2018-07-05,141.89
2018-07-06,139.0
2018-07-07,134.65
2018-07-08,131.76
2018-07-09,127.71
2018-07-10,128.29
2018-07-11,128.95
2018-07-12,125.74
2018-07-13,122.31
2018-07-14,119.57
2018-07-15,121.03
2018-07-16,115.19
2018-07-17,116.04
2018-07-18,117.2
2018-07-19,118.39
2018-07-20,119.34
2018-07-21,120.55
2018-07-22,118.8
2018-07-23,116.15
2018-07-24,110.87
2018-07-25,108.72
2018-07-26,108.42
2018-07-27,108.1
2018-07-28,109.57
2018-07-29,108.42
2018-07-30,108.97
2018-07-31,110.83
2018-08-01,110.43
2018-08-02,109.14
2018-08-03,104.93
2018-08-04,101.89
2018-08-05,103.87
2018-08-06,103.82
2018-08-07,98.96
2018-08-08,98.9
2018-08-09,96.59
2018-08-10,98.23
2018-08-11,96.26
2018-08-12,95.61
2018-08-13,98.64
2018-08-14,100.15
2018-08-15,100.51
2018-08-16,103.99
2018-08-17,106.63
2018-08-18,104.18
2018-08-19,103.58
2018-08-20,104.05
2018-08-21,106.68
2018-08-22,105.69
2018-08-23,101.5
2018-08-24,102.59
2018-08-25,101.63
2018-08-26,105.0
2018-08-27,98.93
2018-08-28,103.87
2018-08-29,101.85
2018-08-30,96.38
2018-08-31,96.31
2018-09-01,98.46
2018-09-02,97.56
2018-09-03,99.78
2018-09-04,98.22
2018-09-05,101.07
2018-09-06,100.06
2018-09-07,100.85
2018-09-08,104.89
2018-09-09,105.89
2018-09-10,104.64
2018-09-11,102.8
2018-09-12,103.8
2018-09-13,100.95
2018-09-14,100.33
2018-09-15,98.98
2018-09-16,94.52
2018-09-17,95.28
2018-09-18,97.82
2018-09-19,96.97
2018-09-20,93.19
2018-09-21,94.26
2018-09-22,89.23
2018-09-23,87.6
2018-09-24,87.4
2018-09-25,86.01
2018-09-26,81.94
2018-09-27,83.0
2018-09-28,83.21
2018-09-29,82.74
2018-09-30,85.81
2018-10-01,84.95
2018-10-02,86.32
2018-10-03,81.33
2018-10-04,82.68
2018-10-05,80.52
2018-10-06,82.53
2018-10-07,79.96
2018-10-08,82.34
2018-10-09,82.22
2018-10-10,84.76
2018-10-11,88.47
2018-10-12,89.64
2018-10-13,87.29
2018-10-14,88.6
2018-10-15,86.59
2018-10-16,87.62
2018-10-17,85.85
2018-10-18,83.43
2018-10-19,81.55
2018-10-20,82.79
2018-10-21,82.8
2018-10-22,84.54
2018-10-23,83.55
2018-10-24,87.25
2018-10-25,83.87
2018-10-26,83.96
2018-10-27,81.51
2018-10-28,82.52
2018-10-29,86.43
2018-10-30,87.23
2018-10-31,90.01
2018-11-01,91.68
2018-11-02,92.45
2018-11-03,95.23
2018-11-04,96.05
2018-11-05,96.52
2018-11-06,96.31
2018-11-07,98.2
2018-11-08,95.29
2018-11-09,98.34
2018-11-10,93.43
2018-11-11,93.65
2018-11-12,95.66
2018-11-13,94.46
2018-11-14,95.69
2018-11-15,94.49
2018-11-16,93.72
2018-11-17,97.11
2018-11-18,99.19
2018-11-19,98.2
2018-11-20,96.61
2018-11-21,98.81
2018-11-22,97.31
2018-11-23,98.9
2018-11-24,99.67
2018-11-25,98.72
2018-11-26,101.04
2018-11-27,107.03
2018-11-28,102.51
2018-11-29,101.12
2018-11-30,100.64
2018-12-01,99.59
2018-12-02,103.49
2018-12-03,103.72
2018-12-04,105.48
2018-12-05,107.17
2018-12-06,111.07
2018-12-07,108.61
2018-12-08,108.42
2018-12-09,106.13
2018-12-10,101.18
2018-12-11,96.88
2018-12-12,95.46
2018-12-13,94.62
2018-12-14,99.02
2018-12-15,100.2
2018-12-16,100.46
2018-12-17,98.27
2018-12-18,95.94
2018-12-19,98.01
2018-12-20,102.97
2018-12-21,101.25
2018-12-22,101.93
2018-12-23,102.83
2018-12-24,101.88
2018-12-25,106.48
2018-12-26,112.34
2018-12-27,116.46
2018-12-28,121.28
2018-12-29,123.85
2018-12-30,120.72
2018-12-31,120.41
2019-01-01,120.76
2019-01-02,121.63
2019-01-03,125.49
2019-01-04,124.98
2019-01-05,132.23
2019-01-06,132.86
2019-01-07,134.72
2019-01-08,140.11
2019-01-09,143.13
2019-01-10,142.16
2019-01-11,142.44
2019-01-12,143.24
2019-01-13,138.47
2019-01-14,139.02
2019-01-15,138.61
2019-01-16,138.91
2019-01-17,140.52
2019-01-18,145.47
2019-01-19,150.35
2019-01-20,152.45
2019-01-21,151.15
2019-01-22,150.52
2019-01-23,153.37
2019-01-24,152.55
2019-01-25,152.27
2019-01-26,149.11
2019-01-27,152.54
2019-01-28,153.77
2019-01-29,157.01
2019-01-30,159.74
2019-01-31,161.68
2019-02-01,163.72
2019-02-02,166.98
2019-02-03,163.72
2019-02-04,162.23
2019-02-05,163.63
2019-02-06,171.65
2019-02-07,171.44
2019-02-08,172.67
2019-02-09,171.14
2019-02-10,172.75
2019-02-11,173.28
2019-02-12,173.65
2019-02-13,177.16
2019-02-14,180.86
2019-02-15,181.82
2019-02-16,177.58
2019-02-17,181.91
2019-02-18,185.22
2019-02-19,184.81
2019-02-20,186.38
2019-02-21,190.32
2019-02-22,187.67
2019-02-23,185.95
2019-02-24,179.73
2019-02-25,180.59
2019-02-26,178.17
2019-02-27,174.19
2019-02-28,171.48
2019-03-01,173.78
2019-03-02,178.28
2019-03-03,178.69
2019-03-04,181.53
2019-03-05,183.57
2019-03-06,181.97
2019-03-07,186.21
2019-03-08,187.76
2019-03-09,192.21
2019-03-10,192.33
2019-03-11,194.92
2019-03-12,191.52
2019-03-13,192.33
2019-03-14,192.23
2019-03-15,195.34
2019-03-16,199.69
2019-03-17,204.11
2019-03-18,205.49
2019-03-19,207.13
2019-03-20,206.35
2019-03-21,206.7
2019-03-22,206.53
2019-03-23,205.58
2019-03-24,207.11
2019-03-25,206.87
2019-03-26,211.07
2019-03-27,210.46
2019-03-28,210.7
2019-03-29,211.4
2019-03-30,216.08
2019-03-31,215.89
2019-04-01,215.49
2019-04-02,211.33
2019-04-03,211.31
2019-04-04,213.04
2019-04-05,212.81
2019-04-06,213.6
2019-04-07,214.22
2019-04-08,211.52
2019-04-09,211.11
2019-04-10,214.4
2019-04-11,213.89
2019-04-12,213.78
2019-04-13,210.03
2019-04-14,204.31
2019-04-15,207.33
2019-04-16,204.89
2019-04-17,203.64
2019-04-18,206.06
2019-04-19,208.44
2019-04-20,213.03
2019-04-21,214.48
2019-04-22,215.63
2019-04-23,217.46
2019-04-24,219.07
2019-04-25,215.6
2019-04-26,209.45
2019-04-27,209.12
2019-04-28,210.57
2019-04-29,208.91
2019-04-30,208.66
2019-05-01,208.18
2019-05-02,203.77
2019-05-03,205.62
2019-05-04,208.11
2019-05-05,207.47
2019-05-06,210.87
2019-05-07,207.92
2019-05-08,210.57
2019-05-09,212.42
2019-05-10,216.5
2019-05-11,214.38
2019-05-12,212.94
2019-05-13,212.63
2019-05-14,214.39
2019-05-15,216.13
2019-05-16,217.15
2019-05-17,215.58
2019-05-18,214.23
2019-05-19,210.31
2019-05-20,210.08
2019-05-21,212.1
2019-05-22,207.59
2019-05-23,208.88
2019-05-24,211.22
2019-05-25,213.49
2019-05-26,212.46
2019-05-27,208.16
2019-05-28,207.69
2019-05-29,205.14
2019-05-30,204.48
2019-05-31,207.25
2019-06-01,207.83
2019-06-02,205.95
2019-06-03,206.79
2019-06-04,206.02
2019-06-05,204.99
2019-06-06,205.18
2019-06-07,206.01
2019-06-08,204.09
2019-06-09,204.54
2019-06-10,200.93
2019-06-11,196.8
2019-06-12,199.36
2019-06-13,197.31
2019-06-14,195.12
2019-06-15,191.87
2019-06-16,194.73
2019-06-17,196.9
2019-06-18,194.37
2019-06-19,190.33
2019-06-20,192.61
2019-06-21,192.22
2019-06-22,190.48
2019-06-23,187.81
2019-06-24,184.25
2019-06-25,185.09
2019-06-26,184.64
2019-06-27,179.46
2019-06-28,176.1
2019-06-29,174.5
2019-06-30,171.09
2019-07-01,170.31
2019-07-02,164.82
2019-07-03,161.75
2019-07-04,162.37
2019-07-05,162.22
2019-07-06,159.73
2019-07-07,158.23
2019-07-08,156.76
2019-07-09,156.2
2019-07-10,156.31
2019-07-11,157.15
2019-07-12,155.68
2019-07-13,158.04
2019-07-14,160.88
2019-07-15,161.49
2019-07-16,158.3
2019-07-17,152.78
2019-07-18,151.48
2019-07-19,153.19
2019-07-20,154.31
2019-07-21,152.79
2019-07-22,152.61
2019-07-23,157.13
2019-07-24,152.62
2019-07-25,154.22
2019-07-26,156.16
2019-07-27,153.34
2019-07-28,152.6
2019-07-29,153.49
2019-07-30,151.78
2019-07-31,153.37
2019-08-01,151.38
2019-08-02,152.24
2019-08-03,151.64
2019-08-04,153.37
2019-08-05,154.8
2019-08-06,154.63
2019-08-07,157.48
2019-08-08,155.76
2019-08-09,155.04
2019-08-10,158.13
2019-08-11,156.99
2019-08-12,159.93
2019-08-13,164.2
2019-08-14,163.32
2019-08-15,158.51
2019-08-16,156.64
2019-08-17,150.9
2019-08-18,150.67
2019-08-19,148.97
2019-08-20,146.2
2019-08-21,147.01
2019-08-22,147.15
2019-08-23,144.1
2019-08-24,143.51
2019-08-25,142.89
2019-08-26,145.73
2019-08-27,145.95
2019-08-28,143.41
2019-08-29,141.76
2019-08-30,145.3
2019-08-31,143.45
2019-09-01,142.39
2019-09-02,142.56
2019-09-03,138.26
2019-09-04,137.3
2019-09-05,132.98
2019-09-06,131.25
2019-09-07,134.54
2019-09-08,133.56
2019-09-09,132.44
2019-09-10,131.32
2019-09-11,129.53
2019-09-12,130.26
2019-09-13,129.32
2019-09-14,129.46
2019-09-15,129.35
2019-09-16,127.45
2019-09-17,128.95
2019-09-18,130.1
2019-09-19,132.43
2019-09-20,133.87
2019-09-21,130.37
2019-09-22,126.83
2019-09-23,130.99
2019-09-24,127.29
2019-09-25,125.35
2019-09-26,125.26
2019-09-27,124.93
2019-09-28,128.16
2019-09-29,129.12
2019-09-30,128.2
2019-10-01,128.95
2019-10-02,128.98
2019-10-03,131.49
2019-10-04,137.0
2019-10-05,134.5
2019-10-06,132.25
2019-10-07,128.23
2019-10-08,129.66
2019-10-09,127.56
2019-10-10,128.1
2019-10-11,126.5
2019-10-12,124.77
2019-10-13,123.65
2019-10-14,122.87
2019-10-15,124.74
2019-10-16,125.65
2019-10-17,127.47
2019-10-18,127.79
2019-10-19,129.26
2019-10-20,130.96
2019-10-21,127.15
2019-10-22,130.43
2019-10-23,127.41
2019-10-24,132.71
2019-10-25,136.11
2019-10-26,135.96
2019-10-27,132.44
2019-10-28,131.4
2019-10-29,128.95
2019-10-30,129.8
2019-10-31,129.13
2019-11-01,131.59
2019-11-02,129.79
2019-11-03,126.98
2019-11-04,128.34
2019-11-05,124.8
2019-11-06,124.39
2019-11-07,122.65
2019-11-08,120.75
2019-11-09,124.99
2019-11-10,131.8
2019-11-11,132.41
2019-11-12,132.29
2019-11-13,131.4
2019-11-14,132.21
2019-11-15,133.04
2019-11-16,135.8
2019-11-17,135.79
2019-11-18,139.97
2019-11-19,139.65
2019-11-20,140.09
2019-11-21,140.1
2019-11-22,139.36
2019-11-23,134.22
2019-11-24,136.38
2019-11-25,141.11
2019-11-26,141.16
2019-11-27,141.12
2019-11-28,139.73
2019-11-29,140.73
2019-11-30,140.36
2019-12-01,141.11
2019-12-02,142.47
2019-12-03,143.69
2019-12-04,143.84
2019-12-05,146.58
2019-12-06,145.36
2019-12-07,143.74
2019-12-08,144.24
2019-12-09,146.93
2019-12-10,143.86
2019-12-11,146.62
2019-12-12,142.15
2019-12-13,144.61
2019-12-14,144.51
2019-12-15,144.26
2019-12-16,146.96
2019-12-17,146.49
2019-12-18,144.43
2019-12-19,146.31
2019-12-20,145.46
2019-12-21,144.46
2019-12-22,142.03
2019-12-23,144.51
2019-12-24,144.78
2019-12-25,144.05
2019-12-26,144.3
2019-12-27,144.38
2019-12-28,145.92
2019-12-29,149.15
2019-12-30,149.39
2019-12-31,148.75
2020-01-01,148.45
2020-01-02,151.03
2020-01-03,154.18
2020-01-04,156.57
2020-01-05,160.54
2020-01-06,159.46
2020-01-07,156.88
2020-01-08,153.25
2020-01-09,152.6
2020-01-10,152.47
2020-01-11,152.78
2020-01-12,150.14
2020-01-13,149.87
2020-01-14,152.74
2020-01-15,156.66
2020-01-16,153.93
2020-01-17,156.36
2020-01-18,155.27
2020-01-19,153.16
2020-01-20,152.99
2020-01-21,154.99
2020-01-22,149.75
2020-01-23,153.69
2020-01-24,155.79
2020-01-25,158.42
2020-01-26,157.13
2020-01-27,158.71
2020-01-28,161.13
2020-01-29,160.38
2020-01-30,163.25
2020-01-31,164.37
2020-02-01,166.51
2020-02-02,164.54
2020-02-03,165.08
2020-02-04,164.84
2020-02-05,167.7
2020-02-06,164.01
2020-02-07,161.67
2020-02-08,164.0
2020-02-09,168.5
2020-02-10,168.59
2020-02-11,171.51
2020-02-12,172.29
2020-02-13,173.39
2020-02-14,175.56
2020-02-15,172.69
2020-02-16,173.12
2020-02-17,173.85
2020-02-18,175.48
2020-02-19,172.25
2020-02-20,170.64
2020-02-21,172.61
2020-02-22,177.14
2020-02-23,172.16
2020-02-24,170.47
2020-02-25,169.32
2020-02-26,175.83
2020-02-27,179.78
2020-02-28,179.19
2020-02-29,177.79
2020-03-01,178.22
2020-03-02,177.1
2020-03-03,178.95
2020-03-04,182.17
2020-03-05,181.12
2020-03-06,181.64
2020-03-07,177.87
2020-03-08,181.29
2020-03-09,181.57
2020-03-10,177.32
2020-03-11,174.12
2020-03-12,173.54
2020-03-13,169.63
2020-03-14,165.26
2020-03-15,165.01
2020-03-16,168.36
2020-03-17,167.61
2020-03-18,166.22
2020-03-19,170.48
2020-03-20,170.7
2020-03-21,169.56
2020-03-22,165.52
2020-03-23,168.14
2020-03-24,166.71
2020-03-25,165.78
2020-03-26,159.95
2020-03-27,159.36
2020-03-28,160.9
2020-03-29,156.98
2020-03-30,152.33
2020-03-31,149.75
2020-04-01,151.97
2020-04-02,155.66
2020-04-03,153.48
2020-04-04,155.42
2020-04-05,155.62
2020-04-06,157.52
2020-04-07,154.72
2020-04-08,153.18
2020-04-09,153.05
2020-04-10,151.6
2020-04-11,149.15
2020-04-12,148.1
2020-04-13,148.99
2020-04-14,150.37
2020-04-15,148.46
2020-04-16,145.75
2020-04-17,144.58
2020-04-18,146.95
2020-04-19,148.0
2020-04-20,147.79
2020-04-21,145.26
2020-04-22,143.6
2020-04-23,145.13
2020-04-24,145.54
2020-04-25,142.73
2020-04-26,139.84
2020-04-27,138.75
2020-04-28,139.23
2020-04-29,136.18
2020-04-30,137.62
2020-05-01,138.06
2020-05-02,139.25
2020-05-03,134.63
2020-05-04,133.9
2020-05-05,136.47
2020-05-06,137.02
2020-05-07,136.4
2020-05-08,133.35
2020-05-09,132.97
2020-05-10,133.62
2020-05-11,132.62
2020-05-12,132.03
2020-05-13,131.71
2020-05-14,129.03
2020-05-15,129.43
2020-05-16,127.57
2020-05-17,127.29
2020-05-18,127.97
2020-05-19,129.35
2020-05-20,130.58
2020-05-21,134.22
2020-05-22,137.85
2020-05-23,136.96
2020-05-24,138.7
2020-05-25,138.57
2020-05-26,140.99
2020-05-27,141.87
2020-05-28,145.17
2020-05-29,144.95
2020-05-30,147.75
2020-05-31,142.05
2020-06-01,141.93
2020-06-02,141.73
2020-06-03,140.07
2020-06-04,136.94
2020-06-05,135.36
2020-06-06,132.69
2020-06-07,131.37
2020-06-08,132.97
2020-06-09,130.11
2020-06-10,131.62
2020-06-11,128.92
2020-06-12,128.18
2020-06-13,126.91
2020-06-14,128.17
2020-06-15,129.5
2020-06-16,128.26
2020-06-17,131.77
2020-06-18,129.54
2020-06-19,133.24
2020-06-20,133.08
2020-06-21,131.77
2020-06-22,129.95
2020-06-23,127.7
2020-06-24,123.2
2020-06-25,121.03
2020-06-26,123.94
2020-06-27,122.56
2020-06-28,121.17
2020-06-29,119.46
2020-06-30,124.64
2020-07-01,123.18
2020-07-02,125.77
2020-07-03,125.13
2020-07-04,125.5
2020-07-05,123.86
2020-07-06,123.2
2020-07-07,118.16
2020-07-08,118.06
2020-07-09,118.9
2020-07-10,115.77
2020-07-11,113.56
2020-07-12,110.77
2020-07-13,114.31
2020-07-14,114.94
2020-07-15,114.55
2020-07-16,110.58
2020-07-17,113.6
2020-07-18,116.73
2020-07-19,121.14
2020-07-20,120.9
2020-07-21,120.11
2020-07-22,119.93
2020-07-23,117.58
2020-07-24,117.79
2020-07-25,114.96
2020-07-26,113.86
2020-07-27,113.49
2020-07-28,115.73
2020-07-29,112.98
2020-07-30,108.59
2020-07-31,104.2
2020-08-01,100.23
2020-08-02,102.36
2020-08-03,101.71
2020-08-04,103.25
2020-08-05,103.47
2020-08-06,109.46
2020-08-07,109.28
2020-08-08,111.1
2020-08-09,110.47
2020-08-10,110.36
2020-08-11,109.92
2020-08-12,105.08
2020-08-13,107.03
2020-08-14,105.58
2020-08-15,107.7
2020-08-16,103.1
2020-08-17,102.9
2020-08-18,104.82
2020-08-19,104.35
2020-08-20,106.65
2020-08-21,105.12
2020-08-22,107.16
2020-08-23,106.11
2020-08-24,100.92
2020-08-25,98.1
2020-08-26,97.36
2020-08-27,94.39
2020-08-28,91.28
2020-08-29,88.12
2020-08-30,90.86
2020-08-31,90.88
2020-09-01,93.81
2020-09-02,86.54
2020-09-03,90.0
2020-09-04,90.32
2020-09-05,90.15
2020-09-06,87.62
2020-09-07,88.22
2020-09-08,87.96
2020-09-09,91.21
2020-09-10,91.28
2020-09-11,97.11
2020-09-12,96.51
2020-09-13,95.75
2020-09-14,97.51
2020-09-15,97.85
2020-09-16,95.25
2020-09-17,94.3
2020-09-18,90.58
2020-09-19,92.52
2020-09-20,96.73
2020-09-21,94.09
2020-09-22,89.61
2020-09-23,91.68
2020-09-24,93.85
2020-09-25,88.71
2020-09-26,91.27
2020-09-27,91.2
2020-09-28,92.5
2020-09-29,91.43
2020-09-30,93.96
2020-10-01,93.77
2020-10-02,94.5
2020-10-03,93.36
2020-10-04,95.25
2020-10-05,92.5
2020-10-06,93.82
2020-10-07,94.3
2020-10-08,99.64
2020-10-09,95.97
2020-10-10,92.13
2020-10-11,91.47
2020-10-12,89.59
2020-10-13,91.78
2020-10-14,89.08
2020-10-15,87.59
2020-10-16,88.29
2020-10-17,85.1
2020-10-18,88.27
2020-10-19,88.15
2020-10-20,85.64
2020-10-21,83.64
2020-10-22,83.17
2020-10-23,80.16
2020-10-24,77.71
2020-10-25,83.14
2020-10-26,79.64
2020-10-27,78.37
2020-10-28,77.79
2020-10-29,86.35
2020-10-30,87.71
2020-10-31,91.5
2020-11-01,86.73
2020-11-02,91.94
2020-11-03,89.02
2020-11-04,87.42
2020-11-05,89.12
2020-11-06,88.49
2020-11-07,86.87
2020-11-08,82.79
2020-11-09,83.0
2020-11-10,84.14
2020-11-11,83.28
2020-11-12,79.77
2020-11-13,78.07
2020-11-14,80.59
2020-11-15,81.81
2020-11-16,82.75
2020-11-17,88.2
2020-11-18,89.69
2020-11-19,93.68
2020-11-20,92.24
2020-11-21,91.47
2020-11-22,92.81
2020-11-23,94.99
2020-11-24,95.84
2020-11-25,96.22
2020-11-26,92.97
2020-11-27,92.33
2020-11-28,95.21
2020-11-29,93.89
2020-11-30,92.57
2020-12-01,92.33
2020-12-02,89.87
2020-12-03,90.15
2020-12-04,89.96
2020-12-05,90.29
2020-12-06,91.15
2020-12-07,91.69
2020-12-08,90.11
2020-12-09,90.86
2020-12-10,89.35
2020-12-11,89.23
2020-12-12,89.17
2020-12-13,92.91
2020-12-14,91.54
2020-12-15,90.88
2020-12-16,91.19
2020-12-17,91.67
2020-12-18,89.2
2020-12-19,88.51
2020-12-20,88.02
2020-12-21,86.93
2020-12-22,87.24
2020-12-23,87.04
2020-12-24,84.42
2020-12-25,82.69
2020-12-26,83.83
2020-12-27,84.11
2020-12-28,85.36
2020-12-29,87.34
2020-12-30,90.5
2020-12-31,89.06
2021-01-01,88.93
2021-01-02,95.19
2021-01-03,97.94
2021-01-04,96.73
2021-01-05,96.24
2021-01-06,96.58
2021-01-07,95.27
2021-01-08,90.99
2021-01-09,91.67
2021-01-10,90.68
2021-01-11,91.6
2021-01-12,92.44
2021-01-13,98.33
2021-01-14,99.83
2021-01-15,96.15
2021-01-16,98.23
2021-01-17,102.11
2021-01-18,105.62
2021-01-19,99.07
2021-01-20,98.47
2021-01-21,97.78
2021-01-22,96.64
2021-01-23,102.13
2021-01-24,102.44
2021-01-25,105.91
2021-01-26,105.69
2021-01-27,108.54
2021-01-28,114.77
2021-01-29,114.96
2021-01-30,117.16
2021-01-31,116.18
2021-02-01,118.56
2021-02-02,120.15
2021-02-03,123.48
2021-02-04,126.34
2021-02-05,126.14
2021-02-06,130.71
2021-02-07,130.96
2021-02-08,132.63
2021-02-09,132.9
2021-02-10,130.78
2021-02-11,129.93
2021-02-12,137.06
2021-02-13,137.39
2021-02-14,137.64
2021-02-15,140.63
2021-02-16,142.31
2021-02-17,144.24
2021-02-18,146.13
2021-02-19,152.33
2021-02-20,153.07
2021-02-21,155.04
2021-02-22,151.72
2021-02-23,147.34
2021-02-24,148.2
2021-02-25,144.05
2021-02-26,143.46
2021-02-27,145.2
2021-02-28,144.68
2021-03-01,144.81
2021-03-02,147.29
2021-03-03,151.43
2021-03-04,154.57
2021-03-05,153.65
2021-03-06,155.4
2021-03-07,158.34
2021-03-08,157.86
2021-03-09,159.81
2021-03-10,162.97
2021-03-11,162.59
2021-03-12,158.81
2021-03-13,154.44
2021-03-14,154.06
2021-03-15,152.98
2021-03-16,154.38
2021-03-17,155.45
2021-03-18,159.15
2021-03-19,159.7
2021-03-20,158.36
2021-03-21,159.18
2021-03-22,164.67
2021-03-23,166.9
2021-03-24,161.49
2021-03-25,162.41
2021-03-26,163.17
2021-03-27,163.91
2021-03-28,166.92
2021-03-29,164.41
2021-03-30,160.9
2021-03-31,162.22
2021-04-01,163.14
2021-04-02,162.78
2021-04-03,161.14
2021-04-04,160.52
2021-04-05,160.37
2021-04-06,156.04
2021-04-07,155.48
2021-04-08,154.78
2021-04-09,152.66
2021-04-10,155.2
2021-04-11,157.0
2021-04-12,154.66
2021-04-13,154.61
2021-04-14,153.59
2021-04-15,151.78
2021-04-16,154.37
2021-04-17,154.94
2021-04-18,158.03
2021-04-19,156.54
2021-04-20,159.65
2021-04-21,160.86
2021-04-22,160.17
2021-04-23,163.3
2021-04-24,164.01
2021-04-25,162.23
2021-04-26,163.0
2021-04-27,162.9
2021-04-28,162.24
2021-04-29,161.41
2021-04-30,161.5
2021-05-01,161.49
2021-05-02,163.73
2021-05-03,161.06
2021-05-04,162.77
2021-05-05,158.52
2021-05-06,156.25
2021-05-07,160.69
2021-05-08,164.69
2021-05-09,162.97
2021-05-10,164.15
2021-05-11,160.95
2021-05-12,161.71
2021-05-13,162.26
2021-05-14,161.15
2021-05-15,159.34
2021-05-16,159.82
2021-05-17,154.87
2021-05-18,155.67
2021-05-19,156.98
2021-05-20,155.81
2021-05-21,158.57
2021-05-22,155.46
2021-05-23,157.81
2021-05-24,157.22
2021-05-25,159.56
2021-05-26,159.42
2021-05-27,156.39
2021-05-28,155.5
2021-05-29,152.93
2021-05-30,155.24
2021-05-31,159.18
2021-06-01,158.19
2021-06-02,161.28
2021-06-03,159.61
2021-06-04,160.08
2021-06-05,163.67
2021-06-06,166.22
2021-06-07,162.1
2021-06-08,164.28
2021-06-09,166.01
2021-06-10,160.89
2021-06-11,163.83
2021-06-12,164.09
2021-06-13,169.84
2021-06-14,169.03
2021-06-15,168.24
2021-06-16,167.78
2021-06-17,164.13
2021-06-18,163.12
2021-06-19,162.79
2021-06-20,163.04
2021-06-21,157.53
2021-06-22,151.69
2021-06-23,150.47
2021-06-24,149.53
